benchmark,category,variant,size,time_1
syr2k,polybench/linear-algebra/blas,polly,EXTRALARGE,5.104684
syr2k,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,1.051413
syr2k,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,2.963299
syr2k,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,0.972342
syr2k,polybench/linear-algebra/blas,gcc,EXTRALARGE,26.089149
syrk,polybench/linear-algebra/blas,clang,EXTRALARGE,18.969941
syrk,polybench/linear-algebra/blas,polly,EXTRALARGE,3.404433
syrk,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,0.619992
syrk,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,1.444059
syrk,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,0.614062
syrk,polybench/linear-algebra/blas,gcc,EXTRALARGE,9.860138
trmm,polybench/linear-algebra/blas,clang,EXTRALARGE,33.35302
trmm,polybench/linear-algebra/blas,polly,EXTRALARGE,10.684289
trmm,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,14.801703
trmm,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,10.737816
trmm,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,15.067089
trmm,polybench/linear-algebra/blas,gcc,EXTRALARGE,33.891957
matadd,dsp,clang,EXTRALARGE,0.328157
matadd,dsp,polly,EXTRALARGE,0.422721
matadd,dsp,polly-parallel,EXTRALARGE,0.320149
matadd,dsp,polly-vectorizer,EXTRALARGE,0.525783
matadd,dsp,polly-parallel-vectorizer,EXTRALARGE,0.318701
matadd,dsp,gcc,EXTRALARGE,0.331458
matinit,dsp,clang,EXTRALARGE,0.205142
matinit,dsp,polly,EXTRALARGE,0.209466
matinit,dsp,polly-parallel,EXTRALARGE,0.217331
matinit,dsp,polly-vectorizer,EXTRALARGE,0.20931
matinit,dsp,polly-parallel-vectorizer,EXTRALARGE,0.21733
matinit,dsp,gcc,EXTRALARGE,0.205333
matmul,dsp,clang,EXTRALARGE,51.697362
matmul,dsp,polly,EXTRALARGE,2.08493
matmul,dsp,polly-parallel,EXTRALARGE,2.046709
matmul,dsp,polly-vectorizer,EXTRALARGE,2.082148
matmul,dsp,polly-parallel-vectorizer,EXTRALARGE,2.148227
matmul,dsp,gcc,EXTRALARGE,26.668523
matscal,dsp,clang,EXTRALARGE,0.215398
matscal,dsp,polly,EXTRALARGE,0.212303
matscal,dsp,polly-parallel,EXTRALARGE,0.216618
matscal,dsp,polly-vectorizer,EXTRALARGE,0.212485
matscal,dsp,polly-parallel-vectorizer,EXTRALARGE,0.217074
matscal,dsp,gcc,EXTRALARGE,0.218816
matsub,dsp,clang,EXTRALARGE,0.182936
matsub,dsp,polly,EXTRALARGE,0.23428
matsub,dsp,polly-parallel,EXTRALARGE,0.178507
matsub,dsp,polly-vectorizer,EXTRALARGE,0.288991
matsub,dsp,polly-parallel-vectorizer,EXTRALARGE,0.177426
matsub,dsp,gcc,EXTRALARGE,0.183267
vadd,dsp,clang,EXTRALARGE,0.091511
vadd,dsp,polly,EXTRALARGE,0.091561
vadd,dsp,polly-parallel,EXTRALARGE,0.091306
vadd,dsp,polly-vectorizer,EXTRALARGE,0.091442
vadd,dsp,polly-parallel-vectorizer,EXTRALARGE,0.091579
vadd,dsp,gcc,EXTRALARGE,0.09167
vcopy,dsp,clang,EXTRALARGE,0.060717
vcopy,dsp,polly,EXTRALARGE,0.060476
vcopy,dsp,polly-parallel,EXTRALARGE,0.061222
vcopy,dsp,polly-vectorizer,EXTRALARGE,0.060859
vcopy,dsp,polly-parallel-vectorizer,EXTRALARGE,0.060851
vcopy,dsp,gcc,EXTRALARGE,0.060881
vfill,dsp,clang,EXTRALARGE,0.05635
vfill,dsp,polly,EXTRALARGE,0.056525
vfill,dsp,polly-parallel,EXTRALARGE,0.056387
vfill,dsp,polly-vectorizer,EXTRALARGE,0.056445
vfill,dsp,polly-parallel-vectorizer,EXTRALARGE,0.056433
vfill,dsp,gcc,EXTRALARGE,0.056498
vmul,dsp,clang,EXTRALARGE,0.119628
vmul,dsp,polly,EXTRALARGE,0.120014
vmul,dsp,polly-parallel,EXTRALARGE,0.119688
vmul,dsp,polly-vectorizer,EXTRALARGE,0.119469
vmul,dsp,polly-parallel-vectorizer,EXTRALARGE,0.119798
vmul,dsp,gcc,EXTRALARGE,0.11937
vneg,dsp,clang,EXTRALARGE,0.05938
vneg,dsp,polly,EXTRALARGE,0.059438
vneg,dsp,polly-parallel,EXTRALARGE,0.059382
vneg,dsp,polly-vectorizer,EXTRALARGE,0.059628
vneg,dsp,polly-parallel-vectorizer,EXTRALARGE,0.059345
vneg,dsp,gcc,EXTRALARGE,0.060057
voffset,dsp,clang,EXTRALARGE,0.059309
voffset,dsp,polly,EXTRALARGE,0.059874
voffset,dsp,polly-parallel,EXTRALARGE,0.059832
voffset,dsp,polly-vectorizer,EXTRALARGE,0.059915
voffset,dsp,polly-parallel-vectorizer,EXTRALARGE,0.060095
voffset,dsp,gcc,EXTRALARGE,0.060105
vrecip,dsp,clang,EXTRALARGE,0.062538
vrecip,dsp,polly,EXTRALARGE,0.062225
vrecip,dsp,polly-parallel,EXTRALARGE,0.062115
vrecip,dsp,polly-vectorizer,EXTRALARGE,0.062225
vrecip,dsp,polly-parallel-vectorizer,EXTRALARGE,0.06219
vrecip,dsp,gcc,EXTRALARGE,0.063688
vscal,dsp,clang,EXTRALARGE,0.059329
vscal,dsp,polly,EXTRALARGE,0.059244
vscal,dsp,polly-parallel,EXTRALARGE,0.059424
vscal,dsp,polly-vectorizer,EXTRALARGE,0.059486
vscal,dsp,polly-parallel-vectorizer,EXTRALARGE,0.059296
vscal,dsp,gcc,EXTRALARGE,0.060093
vsub,dsp,clang,EXTRALARGE,0.119906
vsub,dsp,polly,EXTRALARGE,0.119779
vsub,dsp,polly-parallel,EXTRALARGE,0.119771
vsub,dsp,polly-vectorizer,EXTRALARGE,0.119451
vsub,dsp,polly-parallel-vectorizer,EXTRALARGE,0.119859
vsub,dsp,gcc,EXTRALARGE,0.119752
wvec,dsp,clang,EXTRALARGE,0.120297
wvec,dsp,polly,EXTRALARGE,0.119989
wvec,dsp,polly-parallel,EXTRALARGE,0.120305
wvec,dsp,polly-vectorizer,EXTRALARGE,0.120117
wvec,dsp,polly-parallel-vectorizer,EXTRALARGE,0.120319
wvec,dsp,gcc,EXTRALARGE,0.121014
dot,blas,clang,EXTRALARGE,0.103157
dot,blas,polly,EXTRALARGE,0.102895
dot,blas,polly-parallel,EXTRALARGE,0.102904
dot,blas,polly-vectorizer,EXTRALARGE,0.10303
dot,blas,polly-parallel-vectorizer,EXTRALARGE,0.102871
dot,blas,gcc,EXTRALARGE,0.102142
gemv,blas,clang,EXTRALARGE,0.003478
gemv,blas,polly,EXTRALARGE,0.0025
gemv,blas,polly-parallel,EXTRALARGE,0.00135
gemv,blas,polly-vectorizer,EXTRALARGE,0.001819
gemv,blas,polly-parallel-vectorizer,EXTRALARGE,0.001323
gemv,blas,gcc,EXTRALARGE,0.003375
ger,blas,clang,EXTRALARGE,0.002002
ger,blas,polly,EXTRALARGE,0.002169
ger,blas,polly-parallel,EXTRALARGE,0.002033
ger,blas,polly-vectorizer,EXTRALARGE,0.001996
ger,blas,polly-parallel-vectorizer,EXTRALARGE,0.002017
ger,blas,gcc,EXTRALARGE,0.002052
gemm_nn,darknet,clang,EXTRALARGE,5.838777
gemm_nn,darknet,polly,EXTRALARGE,2.084847
gemm_nn,darknet,polly-parallel,EXTRALARGE,2.101228
gemm_nn,darknet,polly-vectorizer,EXTRALARGE,2.045958
gemm_nn,darknet,polly-parallel-vectorizer,EXTRALARGE,2.070132
gemm_nn,darknet,gcc,EXTRALARGE,4.923653
gemm_nt,darknet,clang,EXTRALARGE,12.865235
gemm_nt,darknet,polly,EXTRALARGE,12.838577
gemm_nt,darknet,polly-parallel,EXTRALARGE,12.845633
gemm_nt,darknet,polly-vectorizer,EXTRALARGE,12.871299
gemm_nt,darknet,polly-parallel-vectorizer,EXTRALARGE,12.842223
gemm_nt,darknet,gcc,EXTRALARGE,12.704624
