benchmark,category,variant,size,time_1
bicg,polybench/linear-algebra/kernels,gcc,EXTRALARGE,0.0033335
bicg,polybench/linear-algebra/kernels,jax,EXTRALARGE,0.00112792709842324
bicg,polybench/linear-algebra/kernels,jax_gpu,EXTRALARGE,0.00133352540433407
bicg,polybench/linear-algebra/kernels,jax_gpu_onlykernel,EXTRALARGE,3.93349910154939e-05
bicg,polybench/linear-algebra/kernels,numba,EXTRALARGE,0.0180489724734798
bicg,polybench/linear-algebra/kernels,numpy,EXTRALARGE,0.000162433600053191
bicg,polybench/linear-algebra/kernels,polly,EXTRALARGE,0.0022115
bicg,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,0.002233
bicg,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,0.0022745
bicg,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,0.0020965
bicg,polybench/linear-algebra/kernels,torch,EXTRALARGE,0.00152222439646721
bicg,polybench/linear-algebra/kernels,torch_compiled,EXTRALARGE,0.00102601700928062
bicg,polybench/linear-algebra/kernels,torch_gpu_onlykernel,EXTRALARGE,3.08795133605599e-05
color_burn8,blend,clang,EXTRALARGE,0.1567945
color_burn8,blend,gcc,EXTRALARGE,0.157429
color_burn8,blend,jax,EXTRALARGE,0.0790181953925639
color_burn8,blend,jax_gpu,EXTRALARGE,0.0259305874351412
color_burn8,blend,jax_gpu_onlykernel,EXTRALARGE,2.95100035145879e-05
color_burn8,blend,numba,EXTRALARGE,0.185715393628925
color_burn8,blend,numpy,EXTRALARGE,0.140574786113575
color_burn8,blend,polly,EXTRALARGE,0.1694895
color_burn8,blend,polly-parallel,EXTRALARGE,0.028915
color_burn8,blend,polly-parallel-vectorizer,EXTRALARGE,0.029233
color_burn8,blend,polly-vectorizer,EXTRALARGE,0.168383
color_burn8,blend,torch,EXTRALARGE,0.194620790542103
color_burn8,blend,torch_compiled,EXTRALARGE,0.0677915690466762
color_burn8,blend,torch_gpu_onlykernel,EXTRALARGE,7.73940701037645e-05
color_dodge8,blend,clang,EXTRALARGE,0.1537345
color_dodge8,blend,gcc,EXTRALARGE,0.1555935
color_dodge8,blend,jax,EXTRALARGE,0.0823690799297765
color_dodge8,blend,jax_gpu,EXTRALARGE,0.0256908446317539
color_dodge8,blend,jax_gpu_onlykernel,EXTRALARGE,3.17540252581239e-05
color_dodge8,blend,numba,EXTRALARGE,0.198324111523107
color_dodge8,blend,numpy,EXTRALARGE,0.129299953929149
color_dodge8,blend,polly,EXTRALARGE,0.1721615
color_dodge8,blend,polly-parallel,EXTRALARGE,0.028654
color_dodge8,blend,polly-parallel-vectorizer,EXTRALARGE,0.0293695
color_dodge8,blend,polly-vectorizer,EXTRALARGE,0.169855
color_dodge8,blend,torch,EXTRALARGE,0.151430704514496
color_dodge8,blend,torch_compiled,EXTRALARGE,0.0671720680547878
color_dodge8,blend,torch_gpu_onlykernel,EXTRALARGE,7.04500125721097e-05
correlation,polybench/datamining,clang,EXTRALARGE,25.175382
correlation,polybench/datamining,gcc,EXTRALARGE,25.207011
correlation,polybench/datamining,jax,EXTRALARGE,0.0824468558421358
correlation,polybench/datamining,jax_gpu,EXTRALARGE,0.00295792892575264
